"wkn_514000";"wkn_515100";"wkn_519000";"wkn_543900";"wkn_555200";"wkn_555750";"wkn_575200";"wkn_500340"
67.3;27.605;35.33;57.78;18.74;15.44;25.71;30.0875
66.35;27.665;35.5;57.68;18.91;15.35;25.4;30.175
66.99;27.475;35.45;57.4;18.78;15.52;25.62;30.325
66.99;27.475;35.45;57.4;18.78;15.52;25.62;30.325
66.99;27.475;35.45;57.4;18.78;15.52;25.62;30.325
67.12;27.5;35.3;57.05;18.8;15.51;25.4;30.09
67.09;27.225;35.35;56.9;18.62;15.56;25.6;30.4
66.55;27.325;34.99;59.7;18.78;15.41;25.5;30.64
67.32;27.59;35.1;62.58;18.64;15.39;25.76;30.825
66.91;27.5;34.96;63.55;18.62;15.37;25.64;30.65
67.15;27.81;35.22;63.3;18.72;15.41;25.78;31.025
67.21;28.14;35.1;63.8;18.98;15.37;26.15;31.2875
67.45;28.165;35.15;63.95;19.43;15.38;26.4;31.335
67.7;28.025;34.8;63.85;19.32;15.47;26.4;31.15
67.81;27.875;34.88;63.9;19.56;15.43;26.45;31.3
66.89;27.515;34.7;62.6;19.3;15.36;26.33;31.125
67.7;27.025;34.68;62.55;19.68;15.49;26.45;30.9125
68.09;26.475;34.67;62.29;19.45;15.63;25.87;31.04
66.19;25.86;33.8;60.95;18.99;15.46;25.6;30.6
64.89;25.6;33.2;60.3;18.74;15.3;25.02;29.825
63.96;26.1;33.35;59.55;18.74;15.29;25.14;29.63
63.37;25.75;33.2;59.36;18.65;15.03;24.82;29.625
63.82;25.92;33.18;59.45;18.86;15.35;24.86;29.775
63.65;26.06;33.1;59.4;18.97;15.35;24.83;29.925
64.35;26.335;33.21;59.25;19.12;15.41;24.95;30.405
64.35;26.26;32.95;58.1;18.74;15.29;25.15;30.1125
64.14;26.035;32.65;57.2;18.29;14.65;24.92;30.15
64.59;25.66;32.3;57.18;17.98;14.48;24.85;29.95
63.35;25.025;32.72;57.1;18.15;14.5;25.47;30.1175
63.35;25.45;33.05;58.2;18.28;14.55;25.4;32.15
63.19;25.775;33.1;59.15;18.1;14.58;25.55;32.6375
63.99;25.85;33.38;55.65;18.4;14.68;25.59;32.4875
64.19;25.855;33.3;56.05;18.32;14.76;25.56;32.7975
64.49;26.25;33.6;55.55;18.37;14.79;26.0;32.25
64.04;26.215;33.6;55.0;18.26;14.82;26.37;32.345
62.14;26.065;33.48;54.95;18.2;14.64;26.2;32.125
62.55;26.0;33.55;55.6;18.17;14.57;26.34;31.7475
62.3;26.0;34.1;56.32;18.14;14.52;26.56;31.9875
61.59;25.615;33.78;55.8;18.36;14.71;26.21;32.075
61.81;25.555;33.8;55.85;18.71;14.7;26.0;32.075
61.88;25.4;33.85;55.9;18.71;14.54;25.88;31.85
62.71;26.215;34.4;57.17;19.11;14.71;26.63;32.545
61.51;26.285;34.4;57.35;18.73;14.66;26.85;33.25
61.8;26.44;34.68;57.15;18.86;14.81;27.25;33.55
62.4;26.535;34.8;58.15;18.86;15.14;27.26;34.095
61.83;26.69;34.7;57.32;18.82;15.16;27.25;33.5925
61.66;26.725;34.52;57.95;19.21;15.11;27.13;33.575
62.1;26.81;34.8;58.25;19.4;15.19;27.21;33.75
62.55;26.8;34.93;57.88;19.29;15.13;27.23;33.55
63.66;27.08;35.1;58.0;19.3;15.18;27.3;33.7775
63.27;27.0;35.2;57.65;19.08;15.1;27.3;33.85
64.31;27.525;35.99;58.2;19.37;15.17;27.98;34.25
64.53;27.775;36.53;58.3;19.07;15.15;27.89;34.025
